,start_num,stop_reason,FX_best,X_best,Xmin,Xmax,dimensions,error_norm
0,0,max_iterations,-330.0,[-1.05143754e-08  4.09179393e-10],-0.2,0.2,2,60.0
1,1,stagnation_lim,-330.0,[-4.15599947e-09 -1.75882704e-09],-0.2,0.2,2,60.0
2,2,stagnation_lim,-330.0,[-7.34931379e-09 -2.20378194e-09],-0.2,0.2,2,60.0
3,3,max_iterations,-330.0,[-8.84491260e-09 -2.84783941e-09],-0.2,0.2,2,60.0
4,4,max_iterations,-330.0,[-3.20666302e-09 -3.85193390e-09],-0.2,0.2,2,60.0
5,5,max_iterations,-330.0,[ 1.89528818e-09 -5.97380628e-09],-0.2,0.2,2,60.0
6,6,max_iterations,-330.0,[ 2.18169033e-09 -4.50056858e-09],-0.2,0.2,2,60.0
7,7,max_iterations,-325.6826610650056,[-0.13054745  0.07587039],-0.2,0.2,2,64.31733893499438
8,8,max_iterations,-330.0,[-5.49847716e-09  2.08197394e-09],-0.2,0.2,2,60.0
9,9,max_iterations,-330.0,[2.79949613e-09 6.08672747e-09],-0.2,0.2,2,60.0
10,10,stagnation_lim,-330.0,[-1.34479222e-09 -1.09223798e-08],-0.2,0.2,2,60.0
11,11,max_iterations,-330.0,[-3.57014707e-10  5.25517865e-09],-0.2,0.2,2,60.0
12,12,max_iterations,-330.0,[-2.33055072e-09  6.66713694e-09],-0.2,0.2,2,60.0
13,13,max_iterations,-330.0,[-4.62134390e-09 -1.14941286e-08],-0.2,0.2,2,60.0
14,14,max_iterations,-330.0,[-2.14442653e-09 -1.17168444e-08],-0.2,0.2,2,60.0
15,15,max_iterations,-330.0,[-7.09534315e-09  8.89799102e-10],-0.2,0.2,2,60.0
16,16,max_iterations,-330.0,[-9.52450559e-09 -3.61154428e-09],-0.2,0.2,2,60.0
17,17,max_iterations,-330.0,[6.59185245e-09 1.06061454e-09],-0.2,0.2,2,60.0
18,18,max_iterations,-330.0,[1.04203217e-08 2.53819189e-09],-0.2,0.2,2,60.0
19,19,max_iterations,-330.0,[6.12668637e-09 1.05967351e-08],-0.2,0.2,2,60.0
20,20,stagnation_lim,-330.0,[-4.20849584e-10  9.14221142e-10],-0.2,0.2,2,60.0
21,21,max_iterations,-330.0,[ 5.37320229e-09 -4.91733616e-09],-0.2,0.2,2,60.0
22,22,max_iterations,-330.0,[-4.17221140e-09 -9.98179584e-09],-0.2,0.2,2,60.0
23,23,max_iterations,-328.541460845564,[0.03785874 0.07774219],-0.2,0.2,2,61.45853915443598
24,24,max_iterations,-330.0,[-4.98197913e-09 -2.28944182e-09],-0.2,0.2,2,60.0
25,25,stagnation_lim,-330.0,[7.04354064e-09 4.47766256e-09],-0.2,0.2,2,60.0
26,26,max_iterations,-330.0,[-1.19340058e-09  5.74631277e-11],-0.2,0.2,2,60.0
27,27,stagnation_lim,-330.0,[-2.94983323e-09 -5.23485187e-09],-0.2,0.2,2,60.0
28,28,max_iterations,-330.0,[ 1.71869680e-10 -3.73329942e-09],-0.2,0.2,2,60.0
29,29,max_iterations,-330.0,[-2.23678969e-09  2.04492583e-09],-0.2,0.2,2,60.0
30,30,max_iterations,-330.0,[ 3.45997561e-09 -2.40777368e-09],-0.2,0.2,2,60.0
31,31,stagnation_lim,-330.0,[-1.07410093e-08 -5.31053989e-09],-0.2,0.2,2,60.0
32,32,max_iterations,-330.0,[-8.55693034e-09 -4.93386995e-09],-0.2,0.2,2,60.0
33,33,max_iterations,-330.0,[ 1.05897227e-09 -8.03027650e-09],-0.2,0.2,2,60.0
34,34,max_iterations,-330.0,[-8.81336225e-09  6.16605566e-09],-0.2,0.2,2,60.0
35,35,max_iterations,-330.0,[ 1.65991136e-09 -3.06544841e-10],-0.2,0.2,2,60.0
36,36,max_iterations,-330.0,[-3.28238551e-09 -7.50568719e-09],-0.2,0.2,2,60.0
37,37,max_iterations,-330.0,[-2.18319041e-09 -1.90984981e-09],-0.2,0.2,2,60.0
