,start_num,stop_reason,FX_best,X_best,Xmin,Xmax,dimensions,error_norm
0,0,max_iterations,-330.0,[ 1.13455754e-08 -3.48800017e-09],-1,1,2,60.0
1,1,stagnation_lim,-330.0,[ 2.08779242e-09 -6.89492775e-09],-1,1,2,60.0
2,2,max_iterations,-330.0,[-6.04646670e-09  9.48313758e-10],-1,1,2,60.0
3,3,max_iterations,-330.0,[-5.20968750e-09  3.62048464e-09],-1,1,2,60.0
4,4,max_iterations,-330.0,[ 1.84719098e-09 -1.13642327e-08],-1,1,2,60.0
5,5,max_iterations,-330.0,[-7.58754091e-09 -2.58252180e-09],-1,1,2,60.0
6,6,max_iterations,-330.0,[1.08091942e-08 4.16677137e-09],-1,1,2,60.0
7,7,max_iterations,-309.1771211963057,[-0.55341417 -0.0742629 ],-1,1,2,80.82287880369432
8,8,max_iterations,-330.0,[-2.61829047e-09 -4.77314811e-09],-1,1,2,60.0
9,9,max_iterations,-330.0,[-1.08788027e-08 -3.40380141e-09],-1,1,2,60.0
10,10,max_iterations,-312.703131781308,[ 0.06218092 -0.6451167 ],-1,1,2,77.296868218692
11,11,stagnation_lim,-330.0,[2.94934222e-09 3.04732225e-09],-1,1,2,60.0
12,12,max_iterations,-330.0,[4.08550582e-09 2.89302284e-09],-1,1,2,60.0
13,13,max_iterations,-300.13309906654575,[ 0.56279913 -0.2540435 ],-1,1,2,89.86690093345425
14,14,max_iterations,-330.0,[-2.83380554e-10  1.02184935e-09],-1,1,2,60.0
15,15,max_iterations,-315.1377499648032,[-0.87867765  0.73759421],-1,1,2,74.86225003519678
16,16,max_iterations,-330.0,[1.12443602e-08 2.74875831e-09],-1,1,2,60.0
17,17,stagnation_lim,-330.0,[-8.06983168e-09 -6.89779917e-09],-1,1,2,60.0
18,18,stagnation_lim,-330.0,[-7.75188840e-09 -7.19830625e-09],-1,1,2,60.0
19,19,max_iterations,-330.0,[2.67452262e-09 8.66287980e-09],-1,1,2,60.0
20,20,max_iterations,-289.78971211074054,[0.54085578 0.49709768],-1,1,2,100.21028788925946
21,21,stagnation_lim,-330.0,[ 5.07979751e-09 -1.39738909e-09],-1,1,2,60.0
22,22,max_iterations,-330.0,[1.02882333e-08 5.36787242e-09],-1,1,2,60.0
23,23,stagnation_lim,-330.0,[-6.86471014e-10 -1.06063700e-08],-1,1,2,60.0
24,24,max_iterations,-330.0,[-9.59747907e-09  6.32687838e-09],-1,1,2,60.0
25,25,max_iterations,-330.0,[ 7.04464560e-09 -6.00394433e-09],-1,1,2,60.0
