,start_num,stop_reason,FX_best,X_best,dimensions,error_norm
0,0,stagnation_lim,-330.0,[-3.58981686e-09  1.13642208e-08],2,0.0
1,1,max_iterations,-330.0,[-4.87500664e-09 -3.46297989e-09],2,0.0
2,2,max_iterations,-330.0,[ 7.06522361e-09 -4.62474581e-09],2,0.0
3,3,max_iterations,-330.0,[-8.80774864e-09  4.80439433e-09],2,0.0
4,4,stagnation_lim,-330.0,[-1.76972024e-10  2.09921260e-09],2,0.0
5,5,max_iterations,-330.0,[ 2.23145193e-09 -3.80987341e-09],2,0.0
6,6,max_iterations,-330.0,[ 1.38558725e-09 -3.93984362e-09],2,0.0
7,7,max_iterations,-330.0,[1.91221813e-09 3.91230035e-09],2,0.0
8,8,stagnation_lim,-330.0,[9.05188762e-09 2.36670151e-09],2,0.0
9,9,max_iterations,-330.0,[5.97655042e-09 1.40497398e-09],2,0.0
10,10,max_iterations,-330.0,[ 7.70343133e-09 -5.81539460e-10],2,0.0
11,11,max_iterations,-317.7541195713687,[0.26772689 1.01343943],2,12.245880428631324
12,12,max_iterations,-300.99960100871425,[-1.17494472 -1.48523298],2,29.00039899128575
13,13,max_iterations,-330.0,[3.75648821e-10 1.09884976e-08],2,0.0
14,14,max_iterations,-330.0,[-9.34136470e-09  6.17643145e-09],2,0.0
15,15,max_iterations,-330.0,[-2.44899600e-09  2.72804292e-09],2,0.0
16,16,max_iterations,-330.0,[ 3.99120562e-09 -1.61267552e-09],2,0.0
17,17,max_iterations,-330.0,[-8.84352854e-09 -5.11247544e-09],2,0.0
18,18,max_iterations,-330.0,[6.63957400e-09 5.06743644e-09],2,0.0
19,19,max_iterations,-330.0,[-1.08081779e-08  1.07286649e-09],2,0.0
20,20,max_iterations,-330.0,[-9.79052511e-09 -3.93580379e-09],2,0.0
21,21,max_iterations,-330.0,[ 7.91321195e-09 -2.54244901e-10],2,0.0
22,22,max_iterations,-330.0,[ 5.53021697e-09 -7.62569385e-09],2,0.0
23,23,stagnation_lim,-330.0,[-9.85079112e-09 -3.85893941e-09],2,0.0
24,24,stagnation_lim,-330.0,[5.80888714e-09 1.35033314e-09],2,0.0
25,25,max_iterations,-322.3812741258656,[-0.884505   -1.94842233],2,7.618725874134384
26,26,max_iterations,-330.0,[-7.52204152e-09 -9.40735974e-09],2,0.0
27,27,max_iterations,-330.0,[ 4.38188568e-09 -5.02351938e-09],2,0.0
28,28,max_iterations,-322.90053713220397,[ 1.86805087 -0.04305465],2,7.099462867796035
29,29,max_iterations,-330.0,[1.11843438e-08 1.71585783e-09],2,0.0
30,30,max_iterations,-312.8286883633929,[-0.10098282  0.67095901],2,17.171311636607072
31,31,stagnation_lim,-330.0,[ 6.65597956e-09 -8.63921327e-09],2,0.0
32,32,max_iterations,-330.0,[-9.32110067e-09  1.08796849e-09],2,0.0
33,33,max_iterations,-330.0,[-1.84322486e-09  5.76090126e-09],2,0.0
34,34,max_iterations,-330.0,[-4.19207020e-09  6.34952875e-09],2,0.0
35,35,max_iterations,-330.0,[7.36515762e-10 9.02783852e-09],2,0.0
36,36,max_iterations,-330.0,[-1.11653168e-08 -3.87363617e-09],2,0.0
37,37,stagnation_lim,-330.0,[1.7646591e-09 5.0066286e-09],2,0.0
38,38,max_iterations,-322.9698579382199,[-1.08014644  1.93243034],2,7.030142061780111
