,start_num,stop_reason,FX_best,X_best,Xmin,Xmax,dimensions,error_norm
0,0,stagnation_lim,-389.999995214873,[0.99781423 0.99564193],0.8,1.2,2,4.785126975548337e-06
1,1,stagnation_lim,-389.99999942250764,[0.99924037 0.99847919],0.8,1.2,2,5.774923579338065e-07
2,2,stagnation_lim,-389.9999997575929,[0.99963834 0.99931022],0.8,1.2,2,2.424071112727688e-07
3,3,stagnation_lim,-389.9999999998357,[1.00001234 1.00002502],0.8,1.2,2,1.6427748050773516e-10
4,4,stagnation_lim,-389.9999999657602,[1.00018503 1.00037029],0.8,1.2,2,3.423980388106429e-08
5,5,stagnation_lim,-389.9999990619327,[0.99905822 0.99813994],0.8,1.2,2,9.380672736369888e-07
6,6,stagnation_lim,-389.99999999904287,[1.00003092 1.00006195],0.8,1.2,2,9.571294867782854e-10
7,7,stagnation_lim,-389.9999999973584,[0.9999495  0.99989995],0.8,1.2,2,2.64162736129947e-09
8,8,stagnation_lim,-389.99999999866907,[1.00003644 1.00007306],0.8,1.2,2,1.3309318092069589e-09
9,9,stagnation_lim,-389.999999844907,[0.99962588 0.99926419],0.8,1.2,2,1.550930051053001e-07
10,10,stagnation_lim,-389.9999999999846,[1.00000392 1.00000787],0.8,1.2,2,1.5404566511278972e-11
11,11,stagnation_lim,-389.999999997241,[1.00005251 1.00010515],0.8,1.2,2,2.7590090212470386e-09
12,12,stagnation_lim,-389.99999998472964,[1.00012353 1.00024672],0.8,1.2,2,1.5270359199348604e-08
13,13,stagnation_lim,-389.9999997544976,[1.00049543 1.00099035],0.8,1.2,2,2.455024059599964e-07
14,14,stagnation_lim,-389.9999998621035,[0.99963    0.99926329],0.8,1.2,2,1.3789650665785302e-07
15,15,stagnation_lim,-389.9999999999924,[1.00000276 1.00000552],0.8,1.2,2,7.617018127348274e-12
16,16,stagnation_lim,-389.9999999999916,[1.0000029  1.00000582],0.8,1.2,2,8.412825991399586e-12
17,17,stagnation_lim,-389.9999998749205,[0.99966947 0.99932647],0.8,1.2,2,1.250795094165369e-07
18,18,stagnation_lim,-389.9999979140527,[0.99856666 0.99711763],0.8,1.2,2,2.085947301111446e-06
19,19,stagnation_lim,-389.99999999994856,[0.99999299 0.99998613],0.8,1.2,2,5.1443294069031253e-11
