,start_num,stop_reason,FX_best,X_best,Xmin,Xmax,dimensions,error_norm
0,0,stagnation_lim,-389.9999983003598,[0.99869863 0.99739116],-6,6,2,1.6996402223412588e-06
1,1,stagnation_lim,-389.99999994102404,[1.00024284 1.00048556],-6,6,2,5.897595656279009e-08
2,2,stagnation_lim,-389.9999997142092,[1.00053438 1.00107055],-6,6,2,2.8579080435520154e-07
3,3,stagnation_lim,-389.9999997539535,[0.99950414 0.99900722],-6,6,2,2.4604651116533205e-07
4,4,stagnation_lim,-389.9999999835629,[0.99987187 0.99974421],-6,6,2,1.643712721488555e-08
5,5,stagnation_lim,-389.99999996759055,[0.99982282 0.99964248],-6,6,2,3.240944579374627e-08
6,6,stagnation_lim,-389.99999997920463,[0.9998558  0.99971173],-6,6,2,2.079536898236256e-08
7,7,stagnation_lim,-389.9999996605684,[1.00057    1.00115239],-6,6,2,3.394316081539728e-07
8,8,stagnation_lim,-389.9999999749868,[0.99984362 0.9996849 ],-6,6,2,2.5013207505253376e-08
9,9,stagnation_lim,-389.9999999993197,[0.99998153 0.99996491],-6,6,2,6.803020369261503e-10
10,10,stagnation_lim,-389.999999950431,[1.00021582 1.00043715],-6,6,2,4.956899601893383e-08
11,11,stagnation_lim,-389.9999999999933,[1.00000257 1.00000517],-6,6,2,6.707523425575346e-12
12,12,stagnation_lim,-389.99999976615555,[0.9995177  0.99903914],-6,6,2,2.3384444602925214e-07
13,13,stagnation_lim,-389.9999997618527,[0.99951238 0.99902693],-6,6,2,2.3814732230675872e-07
14,14,stagnation_lim,-389.9999995289893,[1.00068355 1.00136142],-6,6,2,4.710107077698922e-07
15,15,stagnation_lim,-389.99999905703316,[0.9990303  0.99806671],-6,6,2,9.429668352822773e-07
16,16,stagnation_lim,-389.99999988111267,[1.00033239 1.00067405],-6,6,2,1.1888732842635363e-07
17,17,stagnation_lim,-389.9999999959213,[0.99993646 0.99987356],-6,6,2,4.0786858335195575e-09
18,18,max_iterations,-390.0,[0.99999994 0.99999988],-6,6,2,0.0
19,19,stagnation_lim,-389.99999057838437,[0.99698052 0.99391499],-6,6,2,9.421615629889857e-06
20,20,stagnation_lim,-389.9999999997948,[1.00001432 1.00002862],-6,6,2,2.0520474208751693e-10
21,21,stagnation_lim,-389.99999749934716,[1.00157246 1.00316413],-6,6,2,2.500652840353723e-06
